siteId,treeId,status,dbhCm,circumferenceCm,radiusM,fitPoints,sectionPointCount,angularCoverageRatio,residualM,verticality,validatedSlices,centerSpreadM,radiusCv,qaFlags
site-001,SITE-001-CFO-011,A_INDICATIVE,39.886,125.307,0.19943,30,82,0.5,0.01605,0.953,4,0.15202,0.202,
site-001,SITE-001-CFO-012,C_STRUCTURE_RISK,59.154,185.837,0.29577,27,67,0.70833,0.02432,0.98,5,0.16322,0.252,LARGE_STRUCTURE_OR_PROP_ROOT_RISK
site-001,SITE-001-CFO-013,B_LOW_CONFIDENCE,12.62,39.647,0.0631,13,41,0.41667,0.00758,0.997,4,0.19358,0.319,LIMITED_POINT_SUPPORT;CENTERLINE_SPREAD_HIGH
site-001,SITE-001-CFO-014,C_STRUCTURE_RISK,55.647,174.822,0.27824,26,51,0.625,0.0205,0.994,5,0.23545,0.181,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-001,SITE-001-CFO-015,C_STRUCTURE_RISK,56.638,177.935,0.28319,26,60,0.625,0.02078,0.995,5,0.18045,0.436,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-001,SITE-001-CFO-016,C_STRUCTURE_RISK,58.449,183.624,0.29225,40,100,0.75,0.0253,0.986,3,0.15407,0.119,LARGE_STRUCTURE_OR_PROP_ROOT_RISK
site-001,SITE-001-CFO-017,C_STRUCTURE_RISK,50.112,157.43,0.25056,25,51,0.54167,0.01919,0.979,4,0.18453,0.46,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH;RADIUS_VARIATION_HIGH
site-001,SITE-001-CFO-018,C_STRUCTURE_RISK,58.251,183.002,0.29126,25,59,0.58333,0.02668,0.999,4,0.15211,0.062,LARGE_STRUCTURE_OR_PROP_ROOT_RISK
site-001,SITE-001-CFO-019,B_LOW_CONFIDENCE,27.401,86.084,0.13701,12,27,0.41667,0.01192,0.986,5,0.25577,0.416,LIMITED_POINT_SUPPORT;CENTERLINE_SPREAD_HIGH
site-001,SITE-001-CFO-020,B_LOW_CONFIDENCE,43.196,135.704,0.21598,21,66,0.41667,0.00951,0.994,4,0.23309,0.419,CENTERLINE_SPREAD_HIGH
site-001,SITE-001-CFO-021,B_LOW_CONFIDENCE,13.321,41.85,0.06661,12,29,0.375,0.00731,0.988,3,0.08225,0.401,LIMITED_POINT_SUPPORT
site-001,SITE-001-CFO-022,A_INDICATIVE,31.652,99.438,0.15826,15,51,0.45833,0.00837,0.98,4,0.08915,0.267,
site-001,SITE-001-CFO-023,C_STRUCTURE_RISK,52.881,166.13,0.2644,19,35,0.625,0.01993,0.998,4,0.19009,0.085,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-001,SITE-001-CFO-024,C_STRUCTURE_RISK,57.185,179.651,0.28592,19,43,0.54167,0.02961,0.996,5,0.18481,0.128,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-001,SITE-001-CFO-025,C_STRUCTURE_RISK,59.271,186.204,0.29635,25,61,0.5,0.0243,0.989,4,0.18031,0.403,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-001,SITE-001-CFO-026,B_LOW_CONFIDENCE,33.24,104.426,0.1662,17,45,0.54167,0.01448,0.999,3,0.2127,0.228,CENTERLINE_SPREAD_HIGH
site-001,SITE-001-CFO-027,C_STRUCTURE_RISK,54.372,170.815,0.27186,20,39,0.5,0.01504,0.989,4,0.176,0.341,LARGE_STRUCTURE_OR_PROP_ROOT_RISK
site-001,SITE-001-CFO-028,B_LOW_CONFIDENCE,39.209,123.18,0.19605,13,25,0.41667,0.01581,0.994,5,0.154,0.215,LIMITED_POINT_SUPPORT
site-001,SITE-001-CFO-029,B_LOW_CONFIDENCE,38.354,120.492,0.19177,15,42,0.41667,0.0099,0.994,4,0.22202,0.223,CENTERLINE_SPREAD_HIGH
site-001,SITE-001-CFO-030,C_STRUCTURE_RISK,50.791,159.566,0.25396,19,49,0.45833,0.01901,0.987,4,0.08124,0.427,LARGE_STRUCTURE_OR_PROP_ROOT_RISK
site-001,SITE-001-CFO-031,C_STRUCTURE_RISK,50.405,158.351,0.25202,19,55,0.41667,0.01366,0.995,4,0.16557,0.141,LARGE_STRUCTURE_OR_PROP_ROOT_RISK
site-001,SITE-001-CFO-032,B_LOW_CONFIDENCE,37.251,117.027,0.18625,14,35,0.41667,0.01416,0.99,4,0.24502,0.188,LIMITED_POINT_SUPPORT;CENTERLINE_SPREAD_HIGH
